ID_registro;FID;Shape;Prob_DAR;Cordillera;Cuenca;Zona UTM;Departamen;Provincia;Distrito;UNIDAD_geo;TIPO_UNIDA;LITOLOGIA_;Este_m;Norte_m
34384;11;Point;0.762918;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CONCHUCOS;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;192593.17;9073278.74
34385;12;Point;0.78147;Blanca;Intercuenca Alto Marañón V;18;ANCASH;SIHUAS;RAGASH;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;195365.66;9073283.43
34386;13;Point;0.831057;Blanca;Cuenca Santa;18;ANCASH;SIHUAS;RAGASH;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;193192.96;9072013.61
34387;14;Point;0.780967;Blanca;Cuenca Santa;18;ANCASH;SIHUAS;RAGASH;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;193068.06;9071939.8
34388;15;Point;0.775131;Blanca;Cuenca Santa;18;ANCASH;SIHUAS;RAGASH;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;193297.17;9071747.54
34389;16;Point;0.799374;Blanca;Cuenca Santa;18;ANCASH;SIHUAS;RAGASH;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;192992.53;9071720.52
34390;17;Point;0.805439;Blanca;Cuenca Santa;18;ANCASH;SIHUAS;RAGASH;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;193202.81;9071419.63
34391;18;Point;0.77811;Blanca;Cuenca Santa;18;ANCASH;SIHUAS;RAGASH;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;193271.4;9071192.21
34392;19;Point;0.757425;Blanca;Cuenca Santa;18;ANCASH;CORONGO;CUSCA;DepÃ³sito glaciar, fluvial;Sedimento;Arena, gravas, limoarena;189295.07;9069934.13
34393;20;Point;0.76767;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca;179276.08;9069706.67
34394;21;Point;0.765069;Blanca;Cuenca Santa;18;ANCASH;CORONGO;CUSCA;DepÃ³sito glaciar, fluvial;Sedimento;Arena, gravas, limoarena;189425.07;9069756.08
34395;22;Point;0.78321;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca;179497.61;9069378.92
34396;23;Point;0.805321;Blanca;Intercuenca Alto Marañón V;18;ANCASH;SIHUAS;RAGASH;FormaciÃ³n OyÃ³n - Miembro inferior;Sedimentaria;Arenisca, lutita;196576.44;9069364.53
34397;24;Point;0.808481;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca;181336.29;9069183.31
34398;25;Point;0.804795;Blanca;Cuenca Santa;18;ANCASH;CORONGO;CUSCA;DepÃ³sito aluvial;Sedimento;Grava, limoarena;183441.25;9069135.84
34399;26;Point;0.761941;Blanca;Cuenca Santa;18;ANCASH;CORONGO;CUSCA;DepÃ³sito aluvial;Sedimento;Grava, limoarena;183366.77;9068876.75
34400;27;Point;0.769584;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca;179608.65;9067596.02
34401;28;Point;0.783022;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca;180692.74;9066947.77
34402;29;Point;0.75162;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;Grupo Chicama - FormaciÃ³n Punta Moreno;Sedimentaria;Arenisca;180109.55;9066814.16
34403;30;Point;0.778149;Blanca;Cuenca Santa;18;ANCASH;PALLASCA;CABANA;DepÃ³sito glaciar, fluvial;Sedimento;Arena, gravas, limoarena;175319.75;9066395.95
