ID_registro;X;Y;P;PROVINCIA;DISTRITO;ALIMENTO;CONTAMINAN;RESULTADO;COND_AN;ESTE;NORTE;ZONA
40885;-78.150691055502;-10.0846198702218;12.000000;HUARMEY;HUARMEY;ESPARRAGO;PLOMO;0.117;EXCEDE LMP;812312.000000;8883871.000000;17
40886;-78.0730245138461;-10.0278787461838;13.000000;HUARMEY;HUARMEY;ESPARRAGO;ARSENICO;0.052;SIN PARAMETRO;820888.000000;8890077.000000;17
40887;-78.1429533297972;-10.0802708811069;14.000000;HUARMEY;HUARMEY;ESPARRAGO;ARSENICO;0.067;SIN PARAMETRO;813165.000000;8884345.000000;17
40888;-78.1389171741885;-10.0769204847385;15.000000;HUARMEY;HUARMEY;ESPARRAGO;ARSENICO;0.046;SIN PARAMETRO;813611.000000;8884712.000000;17
40889;-78.1460901882843;-10.0894764909753;16.000000;HUARMEY;HUARMEY;ESPARRAGO;ARSENICO;0.062;SIN PARAMETRO;812812.000000;8883329.000000;17
40890;-78.1572227733596;-10.0674664204632;17.000000;HUARMEY;HUARMEY;ESPARRAGO;ARSENICO;<0.011;SIN PARAMETRO;811612.000000;8885776.000000;17
40891;-78.1572227733596;-10.0674664204632;18.000000;HUARMEY;HUARMEY;ESPARRAGO;ARSENICO;0.012;SIN PARAMETRO;811612.000000;8885776.000000;17
40892;-78.1514405386939;-10.0718848306753;19.000000;HUARMEY;HUARMEY;CARNE DE BOVINO;ARSENICO;0.032;SIN PARAMETRO;812242.060000;8885281.400000;17
40893;-78.1542374694019;-10.0732238368034;20.000000;HUARMEY;HUARMEY;CARNE DE BOVINO;ARSENICO;0.031;SIN PARAMETRO;811933.950000;8885135.850000;17
40894;-78.4860714307858;-8.94303032744594;31.000000;CHIMBOTE;CHIMBOTE;ESPARRAGO;ARSENICO;<0.025;SIN PARAMETRO;776444.000000;9010503.000000;17
40895;-78.5484936455787;-9.06624024295517;32.000000;SANTA;CHIMBOTE;MARACUYA;ARSENICO;0.022;SIN PARAMETRO;769484.320000;8996915.600000;17
40896;-78.5655991861586;-8.95886246363302;33.000000;SANTA;CHIMBOTE;ZANAHORIA;ARSENICO;0.027;SIN PARAMETRO;767682.020000;9008809.910000;17
40897;-78.4764855722355;-8.95984572563092;34.000000;SANTA;CHIMBOTE;MARACUYA;ARSENICO;0.016;SIN PARAMETRO;777486.000000;9008635.000000;17
40898;-78.5205055297672;-8.906837652965;35.000000;SANTA;CHIMBOTE;MARACUYA;ARSENICO;0.018;SIN PARAMETRO;772682.080000;9014533.620000;17
40899;-78.5205055297672;-8.906837652965;36.000000;SANTA;CHIMBOTE;MARACUYA;CADMIO;0.063;EXCEDE LMP;772682.080000;9014533.620000;17
40900;-78.5316311011534;-9.05643853678548;37.000000;SANTA;CHIMBOTE;MARACUYA;ARSENICO;0.028;SIN PARAMETRO;771346.410000;8997987.660000;17
40901;-78.5497150238582;-8.8401217352666;38.000000;SANTA;CHIMBOTE;MANZANA;ARSENICO;<0.025;SIN PARAMETRO;769516.610000;9021937.390000;17
