ID_registro,Código ANA,Año de identificación,Intervención propuesta,Sector,Río o quebrada,Cuerpo de agua,Unidad hidrográfica declarada,Provincia,Distrito,Familias declaradas,Viviendas declaradas,Longitud de intervención,Presupuesto estimado (S/),Observación,Infraestructura afectada,Autoridad Administrativa del Agua,Administración Local de Agua
41209,2020-443,2020,"Limpieza, Descolmatacion y construccion de Dique con enrocado",Toma,Santa,Santa,Santa,Carhuaz,Carhuaz,62,,0.26 km,705 271.33,,,04,0402
41210,2020-444,2020,"Limpieza, Descolmatacion y construccion de Dique con enrocado",Tuctu,Santa,Santa,Santa,Recuay,Recuay,62,,0.35 km,2 062 693.30,,,04,0402
41211,2020-445,2020,"Limpieza, Descolmatacion y construccion de Dique con enrocado",Wishka,Santa,Santa,Santa,Recuay,Catac,19,,0.136 km,119 884.26,,,04,0402
41212,2020-446,2020,"Limpieza, Descolmatacion y construccion de Dique con enrocado",Utcuyacu,Santa,Santa,Santa,Recuay,Catac,,,0.19 km,189 358.91,,,04,0402
41213,2020-447,2020,"Limpieza, y descolmatacion y conformacion de dique con material propio",Huayoshanca,Santa,Santa,Santa,Carhuaz,Yungar,,,0.337 km,219 227.18,,,04,0402
41214,2020-448,2020,"Limpieza, y descolmatacion",Anta,Qda. Piñi Uran,Piñi Uran,Santa,Carhuaz,Anta,5,,1.6 km,105 063.89,,,04,0402
41215,2020-449,2020,"Limpieza, y descolmatacion",Marcara,Marcara,Marcara,Santa,Carhuaz,Marcara,14,,0.12 km,93 631.44,,,04,0402
41216,2020-450,2020,"Limpieza, y descolmatacion",Acopampa,Chucchun,Chucchun,Santa,Carhuaz,Carhuaz,50,,1.1 km,492 369.00,,,04,0402
41217,2020-451,2020,"Limpieza, y descolmatacion y conformacion de dique con material propio",Huancapampa,Qda. Atochuacanca,Atochuacanca,Santa,Recuay,Recuay,150,,0.25 km,247 940.97,,,04,0402
41218,2020-452,2020,"Limpieza, y descolmatacion",Recuay,Qda. Chiriac,Chiriac,Santa,Recuay,Recuay,50,,0.27 km,53 661.71,,,04,0402
41219,2020-453,2020,"Limpieza, y descolmatacion",Huaraz,Qda. Rio Seco,Rio Seco,Santa,Huaraz,Huaraz,350,,1.6 km,866 262.69,,,04,0402
41220,2020-454,2020,Proteccion con dique enrocado,Jangas,Llacash,Llacash,Santa,Huaraz,Jangas,,,0.03 km,47 886.92,,,04,0402
41221,2020-455,2020,descolmatacion y encauzamiento,Putucauchachin,Qda. Putucauchachin,Putucauchachin,Santa,Yungay,Ranrahirca,19,,0.33 km,53 640.84,,,04,0402
41222,2020-456,2020,"Limpieza, y descolmatacion y conformacion de dique con material propio",Acobamba,Qda. Runtu,Runtu,Santa,Yungay,Yungay,25,,0.4 km,349 128.57,,,04,0402
41223,2020-457,2020,"Limpieza, y descolmatacion y conformacion de dique con material propio",Santa Rosa,Qda. Santa Rosa,Santa Rosa,Santa,Yungay,Yungay,90,,0.32 km,244 725.25,,,04,0402
41224,2020-501,2020,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,Malvado Alto,Fortaleza,Fortaleza,Fortaleza,No resuelve contra INEI,Ubigeo declarado 150202,12,,0.5 km,1 103 543.78,,,03,0305
41225,2020-507,2020,Limpieza y descolmatacion y proteccion con enrocado y reforestacion en el rio Fortaleza,Tranca-Desembocaudura rio Fortaleza,Julquillas,Julquillas,Fortaleza,No resuelve contra INEI,Ubigeo declarado 150202,1,,3.15 km,6 218 857.04,,,03,0305
41226,2020-435,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Hualgayoc Nivin,Casma,Casma,Casma,Casma,Yautan,50,,4.2 km,13 541 230.63,Puntos  Criticos Complementarios,,04,0401
41227,2020-458,2020,"limpieza, Descolmatacion y construccion de dique con enrocado",Calavera Grande,Casma,Casma,Casma,Casma,Casma,75,,2 km,5 949 373.84,Puntos  Criticos Complementarios,,04,0401
