ID_registro;N;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;RUC;MUNI_ADMINISTRA;COD_UF;DENOMINACIÓN;ZONA;ESTE;NORTE;PERIMETRO;ÁREA_M2;ÁREA_HA;MUNI_DISPONEN;CANT_DISP;SEGREGA;CRIANZA_ANIM;QUEMA_RRSS;RRSS_SALUD;RRSS_INDU;AGUAJAL;BOFEDAL;PANTANO;AMORTIGUAMIENTO_ANP;ANP;CATEGORIA;AÑO_INCORPORACION;DOCUMENTO_INCORPORACION;DOCUMENTO_ACTUALIZACION;PLAN_RECUPERACION_RECONVERSION
37631;1262;120416;Junín;Jauja;Masma;20206087651;MUNICIPALIDAD DISTRITAL DE MASMA;UF0018182;Botadero Sector Quishuarnioc;18;455674.0;8698204.0;324;6309;0.6309;Municipalidad distrital de Masma;No precisa;No;No;No;No;No;No;No;No;No;No;Recuperación;2022;Resolución N.° 00018-2022-OEFA/DSIS;;R.A. N° 062-2022-MPJ/A
37632;1263;120417;Junín;Jauja;Masma Chicche;20206811103;MUNICIPALIDAD DISTRITAL DE MASMA CHICCHE;UF0037851;Area de disposicion final de RRSS de la Municipalidad distrital de Masma Chicche;18;459034.0;8695387.0;173;2100;0.21;Municipalidad distrital de Masma Chicche;0.11;No;No;No;No;No;No;No;No;No;No;Recuperación;2024;Resolución N° 00008-2024-OEFA/DSIS;Resolución N.° 00008-2025-OEFA/DSIS;
37633;1264;120419;Junín;Jauja;Monobamba;20229755871;MUNICIPALIDAD DISTRITAL MONOBAMBA;UF0009375;Botadero Barrio Santa Rosa;18;464536.0;8744930.0;247.15068;3867.247706;0.386725;Municipalidad distrital de Monobamba;2.86;No;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;R.A. N° 172-2021-MPJ/A
37634;1265;120419;Junín;Jauja;Monobamba;20229755871;MUNICIPALIDAD DISTRITAL MONOBAMBA;UF0036588;Botadero Sector Culipampa;18;464496.0;8746024.0;370.75;7388;0.7988;Municipalidad distrital de Monobamba;0.302;Si;No;No;No;No;No;No;No;No;No;Reconversión;2023;Resolución N.° 0058-2023-OEFA/DSIS;;
37635;1266;120420;Junín;Jauja;Muqui;20201784183;MUNICIPALIDAD DISTRITAL DE MUQUI;UF0009461;Botadero Cementerio de Muqui;18;452187.0;8691049.0;291.676712;3656.289907;0.365629;Municipalidad distrital de Muqui, Municipalidad distrital de Leonor Ordoñez;0.5;Si;Si;Si;No;No;No;No;No;No;No;Reconversión;2018;RCD N°026 -2018-OEFA/CD;;R.G. N° 010-2020-MPJ/GDAYF
37636;1267;120421;Junín;Jauja;Muquiyauyo;20163707463;MUNICIPALIDAD DISTRITAL DE MUQUIYAUYO;UF0010652;Botadero Sector Palo Seco;18;452141.035;8694285.143;206;2272.03;0.227;Municipalidad distrital de Muquiyauyo;0.01;No;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37637;1268;120422;Junín;Jauja;Paca;20191870710;MUNICIPALIDAD DISTRITAL DE PACA;UF0009772;Botadero Incañan;18;443138.0;8705001.0;137.804536;966.098835;0.09661;Municipalidad distrital de Paca;0.25;No;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;
37638;1269;120423;Junín;Jauja;Paccha;20218531271;MUNICIPALIDAD DISTRITAL DE PACCHA;UF0009561;Botadero Culujo;18;446812.0;8687973.0;139.401684;1323.831393;0.132383;Municipalidad distrital de Paccha;0.25;No;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;R.A. N° 184-2021-MPJ/A
37639;1270;120423;Junín;Jauja;Paccha;20218531271;MUNICIPALIDAD DISTRITAL DE PACCHA;UF0037852;Botadero Mito Pasana;18;445417.0;8683501.0;30;15000;1.5;Municipalidad distrital de Paccha;0.25;No;No;No;No;No;No;No;No;No;No;Recuperación;2024;Resolución N° 00008-2024-OEFA/DSIS;;
37640;1271;120425;Junín;Jauja;Parco;20204027251;MUNICIPALIDAD DISTRITAL DE PARCO;UF0037853;Botadero Mesapata;18;442823.0;8695178.0;60;1730;0.173;Municipalidad distrital de Parco;No precisa;Si;No;No;No;No;No;No;No;No;No;Recuperación;2024;Resolución N° 00008-2024-OEFA/DSIS;;
37641;1272;120427;Junín;Jauja;Ricran;20280875431;MUNICIPALIDAD DISTRITAL DE RICRAN;UF0013007;Botadero Uyuncuy;18;443559.0;8722741.0;128.789606;1080.730231;0.108073;Municipalidad distrital de Ricran;0.02;No;No;No;Si;No;No;No;No;No;No;Recuperación;2021;RESOLUCION N° 00003-2021-OEFA/DSIS;;
37642;1273;120428;Junín;Jauja;San Lorenzo;20213376684;MUNICIPALIDAD DISTRITAL EL MANTARO;UF0009809;Botadero La Isla;18;455195.0;8690981.0;377;6900;0.69;Municipalidad distrital de El Mantaro;0.42;No;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;R.A. N° 178-2022-MPJ/A
37643;1274;120428;Junín;Jauja;San Lorenzo;20208823443;MUNICIPALIDAD DISTRITAL DE SAN LORENZO;UF0040608;Botadero San Lorenzo;18;459914.0;8690469.0;321;5000;0.5;Municipalidad distrital de San Lorenzo;0.214;No;No;No;No;No;No;No;No;No;No;Recuperación;2025;Resolución N.° 0017-2025-OEFA/DSIS;;
37644;1275;120429;Junín;Jauja;San Pedro de Chunan;20204462772;MUNICIPALIDAD DISTRITAL SAN PEDRO CHUNAN;UF0010381;Botadero S/N;18;445871.0;8704324.0;105.501505;600.511356;0.060051;Municipalidad distrital de San Pedro de Chunan;0.5;No;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;R.A. N° 082-2021-MPJ/A
37645;1276;120430;Junín;Jauja;Sausa;20183093941;MUNICIPALIDAD PROVINCIAL JAUJA;UF0009855;Botadero Macón;18;446190.0;8696320.0;592.767203;21126.980416;2.112698;Municipalidad provincial de Jauja, Municipalidad distrital de Pancan, Municipalidad distrital de Ataura;9.2;No;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;R.A. N° 216-2021-MPJ/A
37646;1277;120430;Junín;Jauja;Sausa;20180415379;MUNICIPALIDAD DISTRITAL DE YAUYOS;UF0010872;Botadero Yauyos Paraje Macón;18;446265.0;8696049.0;419.722598;9843.450199;0.984345;Municipalidad distrital de Yauyos;1;Si;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;R.A. N° 250-2021-MPJ/A
37647;1278;120430;Junín;Jauja;Sausa;20188462503;MUNICIPALIDAD DISTRITAL DE SAUSA;UF0038888;Botadero Luli Isla;18;448963.0;8696109.0;203;2200;0.22;Municipalidad distrital de Sausa;2;No;No;No;No;No;No;No;No;No;No;Recuperación;2024;RESOLUCIÓN N° 00136-2024-OEFA/DSIS;;R.A. N° 009-2021-MPJ/A
37648;1279;120431;Junín;Jauja;Sincos;20191873492;MUNICIPALIDAD DISTRITAL DE SINCOS;UF0035336;Botadero Sector Pirámide;18;457808.0;8686170.0;248;2152;0.2;Municipalidad Distrital de Sincos;0.5;No;No;No;No;No;No;No;No;No;No;Recuperación;2022;Resolución N.° 00067-2022-OEFA/DSIS;Resolución N.° 00140-2024-OEFA/DSIS;
37649;1280;120432;Junín;Jauja;Tunan Marca;20225807010;MUNICIPALIDAD DISTRITAL DE TUNANMARCA;UF0010784;Botadero Trocha Carrozable Hacia Pomacancha;18;437470.0;8702315.0;241;3600;0.36;Municipalidad distrital de Tunan Marca;0.0288;No;No;No;No;No;No;No;No;No;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;Resolución N.° 0017-2025-OEFA/DSIS;
37650;1281;120432;Junín;Jauja;Tunan Marca;20225807010;MUNICIPALIDAD DISTRITAL DE TUNANMARCA;UF0042037;Botadero Paraje Churriapampa;18;435488.0;8705868.0;218;2553;0.26;Municipalidad distrital de Tunanmarca;0.04;No;No;Si;No;No;No;No;No;No;No;Recuperación;2025;Resolución N.° 00024-2025-OEFA/DSIS;;R.A. N° 104-2022-MPJ/A
37651;1282;120433;Junín;Jauja;Yauli;20209528062;MUNICIPALIDAD DISTRITAL DE YAULI;UF0037854;Botadero Paraje Juñash;18;446088.0;8708980.0;260;42000;4.2;Municipalidad distrital de Yauli;0.6;No;No;No;No;No;No;No;No;No;No;Recuperación;2024;Resolución N° 00008-2024-OEFA/DSIS;;
37652;1283;120502;Junín;Junín;Carhuamayo;20185644830;MUNICIPALIDAD DISTRITAL DE CARHUAMAYO;UF0009705;Botadero Estancia Acerocancha;18;385860.57;8793419.77;424;11700;1.17;Municipalidad distrital de Carhuamayo ;6;No;No;No;No;No;No;No;No;Si;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;Resolución N.° 00002-2025-OEFA/DSIS;
37653;1284;120501;Junín;Junín;Junín;20177653960;MUNICIPALIDAD PROVINCIAL DE JUNIN;UF0010093;Botadero Pampa Victoria;18;396103.0;8760049.0;970;54200;5.42;Municipalidad provincial de Junín;4;No;No;No;Si;No;No;No;No;Si;No;Recuperación;2018;RCD N°026 -2018-OEFA/CD;;R.A. N° 085-2022-MPJ/A
